8305138,2017,3/16/17,2/4/17,2304,2/4/17 23:04,6,7,4313,0,RUBY AV,QUIMBY RD,260,S,N,A,-,N,,,,,,,,,,Y,3,1,A,-,1,23152,,N,E,I,A,A,H,-,C,D,Y,-,,-,-,,,SANTA CLARA,SAN JOSE,-121.7821965,37.32422627
8529796,2017,1/11/18,1/27/17,2303,1/27/17 23:03,5,3,102,0,SOLANO,NEILSON,73,E,N,A,-,N,,,,,,,,,,N,4,2,A,-,3,22350,,N,C,E,A,A,H,-,C,D,,A,1,-,-,,,ALAMEDA,ALBANY,-122.2863278,37.89097593
90376850,2017,2/16/17,1/16/17,2302,1/16/17 23:02,1,7,109,0,I-880 S/B,5TH AVE,1584,S,N,B,-,Y,,,,,,,,,,Y,4,3,A,-,3,22350,,N,C,C,A,A,H,-,D,D,,A,1,-,-,37.47212,-122.15168,ALAMEDA,OAKLAND,-122.25845,37.78961
8289631,2017,1/27/17,1/21/17,2302,1/21/17 23:02,6,5,101,0,CLINTON AV,OAK ST,0,,Y,C,-,N,,,,,,,,,,N,3,1,A,-,3,22350,,N,H,I,A,B,H,-,C,A,Y,L,4,-,-,,,ALAMEDA,ALAMEDA,-122.2471399,37.76043998
8305368,2017,10/12/17,1/2/17,2300,1/2/17 23:00,1,7,3801,0,5TH ST,MARKET ST,5,S,N,C,-,N,,,,,,,,,,N,3,2,A,-,11,21453,D,N,G,B,B,B,H,-,C,A,Y,N,60,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4080479,37.78399015
90395731,2017,2/17/17,2/1/17,2300,2/1/17 23:00,3,6,105,0,I-680 SOUTHBOUND,SCOTT CREEK ROAD,953,N,N,B,-,Y,,,680,,,,,,S,Y,3,3,A,-,3,22350,,N,C,C,A,B,H,-,C,D,,A,1,-,-,37.46921,-121.90801,ALAMEDA,FREMONT,-121.9080825,37.46915159
90393361,2017,2/15/17,2/6/17,2300,2/6/17 23:00,1,7,109,0,I-880 N/B,HIGH ST,200,S,N,C,-,Y,,,880,,,,,,N,Y,4,2,A,-,7,21658,A,F,B,C,A,B,H,-,D,D,,-,99,-,-,37.76783,-122.21977,ALAMEDA,OAKLAND,-122.2197289,37.76786089
8377678,2017,6/12/17,1/26/17,2300,1/26/17 23:00,4,7,109,0,E 22ND ST,5TH AV,0,,Y,A,-,N,,,,,,,,,,N,4,2,A,-,9,21802,A,N,D,C,A,A,H,-,C,A,,A,7,-,-,,,ALAMEDA,OAKLAND,-122.24645,37.8009999
90376995,2017,2/15/17,1/19/17,2258,1/19/17 22:58,4,9,700,0,WATER ST,MARIN AVE,25,W,N,B,-,N,,,,,,,,,,N,3,2,A,-,12,22450,A,N,C,G,A,B,H,-,C,A,,L,4,-,-,38.02475,-121.9535,CONTRA COSTA,UNINCORPORATED,-121.9534529,38.02471034
8305660,2017,2/15/17,1/4/17,2257,1/4/17 22:57,3,7,3801,0,SILVER AV,BAYSHORE BL,28,E,N,C,-,N,,,,,,,,,,Y,4,1,A,-,1,23152,A,N,A,I,A,B,H,-,C,A,Y,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4045769,37.73301043
